Location,City,Bedrooms,Bathrooms,Parking,Price
Gigiri, Nairobi,4,2,,KSh 230 000
,,1,1,,KSh 90 000
Spring Valley, Nairobi,3,3,2,KSh 330 000
 Kilimani, Nairobi,3,4,,KSh 90 000
 Westlands, Nairobi,5,5,,KSh 250 000
,,5,5,,KSh 280 000
 Kileleshwa, Nairobi,2,2,2,KSh 50 000
 Lavington, Nairobi,38,3,,KSh 1 500 000
Gigiri, Nairobi,5,5,,KSh 200 000
,,4,4,,KSh 200 000
Ridgeways, Nairobi,4,4,,KSh 400 000
Westlands, Nairobi,4,5,2,KSh 200 000
Westlands, Nairobi,4,5,2,KSh 200 000
 Kileleshwa, Nairobi,3,3,3,KSh 200 000
 Westlands, Nairobi,3,3,3,KSh 350 000
Lavington, Nairobi,4,4,2,KSh 170 000
 Kileleshwa, Nairobi,3,3,"Erf Size:

                            204
                        
                        m²",KSh 125 000
 Westlands, Nairobi,4,4,,KSh 150 000
Lavington, Nairobi,2,2,,KSh 70 000
 Kilimani, Nairobi,4,4,2,KSh 120 000
 Runda, Nairobi,4,4,4,KSh 400 000
Runda, Nairobi,5,5,2,KSh 300 000
 Kilimani, Nairobi,5,4,,KSh 300 000
Parklands, Nairobi,3,3,2,KSh 95 000
 Runda, Nairobi,5,5,5,KSh 350 000
Ngong Rd, Nairobi,1,1,,KSh 25 000
 Westlands, Nairobi,3,3,,KSh 55 000
 Westlands, Nairobi,3,2,2,KSh 55 000
Karen, Nairobi,3,2,,KSh 150 000
 Runda, Nairobi,5,5,3,KSh 400 000
Lavington, Nairobi,2,2,,KSh 70 000
,,5,5,2,KSh 170 000
 Kileleshwa, Nairobi,3,3,2,KSh 150 000
Lavington, Nairobi,5,5,2,KSh 350 000
,,1,,,KSh 30 000
,,,,,KSh 80 000
,,3,3,2,KSh 150 000
Lavington, Nairobi,5,5,,KSh 350 000
 Kilimani, Nairobi,2,2,2,KSh 80 000
Lavington, Nairobi,10,,,KSh 1 400 000
,,2,2,,KSh 90 000
Lavington, Nairobi,2,2,,KSh 150 000
Lavington, Nairobi,4,5,3,KSh 220 000
Lavington, Nairobi,5,5,,KSh 350 000
 Kileleshwa, Nairobi,1,1,,KSh 60 000
,,2,2,,KSh 75 000
Lavington, Nairobi,5,5,,KSh 180 000
,,4,4,,KSh 250 000
 Kilimani, Nairobi,2,2,2,KSh 160 000
Kilimani, Nairobi,2,2,,KSh 12 000
 Kileleshwa, Nairobi,2,2,2,KSh 120 000
Spring Valley, Nairobi,7,8,2,KSh 500 000
Muthaiga, Nairobi,5,6,4,KSh 5 000
Kilimani, Nairobi,2,1,,KSh 50 000
 Kileleshwa, Nairobi,1,1,1,KSh 70 000
 Lavington, Nairobi,2,2,,KSh 68 000
Lavington, Nairobi,3,3,,KSh 240 000
Lavington, Nairobi,6,7,4,KSh 290 000
Gigiri, Nairobi,5,6,4,KSh 350 000
,,4,5,3,KSh 180 000
Westlands, Nairobi,92,2,,KSh 80 000
Parklands, Nairobi,3,1,,KSh 85 000
,,2,3,,KSh 70 000
 Lavington, Nairobi,5,2,,KSh 400 000
 Lower Kabete, Nairobi,4,4,2,KSh 170 000
 Kilimani, Nairobi,2,2,,KSh 55 000
Muthaiga, Nairobi,3,3,2,KSh 100 000
Karen, Nairobi,6,5,,KSh 600 000
 Lavington, Nairobi,3,2,2,KSh 65 000
Garden Estate, Nairobi,2,2,,KSh 100 000
Runda, Nairobi,5,6,4,KSh 550 000
Runda, Nairobi,5,6,5,KSh 400 000
 Kilimani, Nairobi,3,3,,KSh 70 000
,,4,5,3,KSh 180 000
Lavington, Nairobi,5,5,,KSh 185 000
Lavington, Nairobi,5,5,,KSh 185 000
Gigiri, Nairobi,4,4,4,KSh 330 000
Kileleshwa, Nairobi,2,2,,KSh 70 000
 Lavington, Nairobi,3,1,,KSh 210 000
Kileleshwa, Nairobi,3,3,,KSh 80 000
Lavington, Nairobi,,,,KSh 95 000
 Kyuna, Nairobi,4,4,6,KSh 160 000
Runda, Nairobi,4,4,,KSh 250 000
