,title,location,bedrooms,bathrooms,price,rate
137,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
138,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
139,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
140,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
141,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
142,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
143,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
144,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
145,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
146,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
147,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
148,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
149,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
150,3 Bedroom Apartment / Flat to rent in Lavington,"Near Valley Arcade, Lavington, Nairobi",3,3, 80 000,Per Month
151,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
152,4 Bedroom Apartment / Flat to rent in Kahawa Wendani,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2, 57 750,Per Month
153,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
154,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
155,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
156,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
157,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
158,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
159,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
160,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
161,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
162,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
163,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
164,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
165,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
166,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
167,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
168,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
169,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
170,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
171,3 Bedroom Apartment / Flat to rent in Lavington,"Near Valley Arcade, Lavington, Nairobi",3,3, 80 000,Per Month
